"ул. Лужники, д. 24",55.715677,37.552166
"пл. Журавлёва, д.1",55.78404,37.704673
8-й км Рублево-Успенского шоссе,55.738247,37.262819
"Кутузовский просп., 36, стр. 11",55.741987,37.526717
65-66 км. МКАД,55.691704,37.262082
"Цветной Бульвар, дом 11, стр.2",55.770071,37.620429
"Ленинградский пр.,  д. 80, стр. 17.",55.807951,37.511508
"пл. Пушкинская, д. 5",55.766202,37.605589
"наб. Лужнецкая, д. 24",55.711975,37.557888
"Олимпийский просп., д. 16 стр. 1",55.781023,37.626484
"Кремль, Государственный Кремлевский Дворец",55.745068,37.603487
"ул. Лужники, 24",55.715677,37.552166
"ш. Волоколамское, 69",55.81782,37.439194
"Ленинградский проспект, дом 36",55.791243,37.559379
"Большая Черкизовская, 125",55.802482,37.74366
"Олимпийский пр-т, 16, корп. 2",55.782967,37.625199
"г. Красногорск, ул. Речная, 37",55.838066,37.324623
"ул. 3-я Песчаная, 2а",55.792189,37.515955
"ш. Ленинградское, 39",55.835382,37.483643
